,A/C,ABS,Adjustable Driver Seat,Alternator (Amps),Arm-rest,Axle Configuration,Axle Types,Battery(Volts),Body Brakes,Body Material,Body Option,Brakes,Bulker Air Inlet Pipe,Bulker Discharge Pipe,Bulker Electricals,Bulker Equipments,Bulker Pressure,Bulker Type,Cabin Type,Canopy Length,Chassis,Chassis Type,Clutch,Company,Cruise Control,Displacement (cc),Driver Information Display,Electricals,Emission Norms,Engine,Engine Cylinders,Engine Displacement,External/Interior Surface,Floor Material,Floor Type,Fog Lights,Front Axle,Front Suspension,Front Tyre,Fuel Tank (Litres),Fuel Type,GVW / GCW (Kgs),Gearbox,Gradeability (%),Ground Clearance (mm),Height {mm (ft.)},Hill Hold,Kerb Weight (Kgs),Landing Gear,Length {mm (ft.)},Loading Platform Area(Sq.ft),Max Power,Max Speed (km/h),Max Torque,Mileage,Model,Navigation System,No. Of Axles,No. Of Valves,Number of Tyre,Overall Height (mm),Overall Length (mm),Overall Width (mm),Parking Brakes,Payload (Kgs),Power Steering,Pump Type,Rear Axle,Rear Board Material,Rear Suspension,Rear Tyre,Refrigerating Unit,Seat Belts,Seat Type,Seating Capacity,Side Board Material,Size (Cu. M),Steering,Telematics,Temperature Range,Tiltable Cabin,Tiltable Steering,Transmission,Tubeless Tyres,Turning Radius (mm),Water Tank Capacity (KL),Water Tank Type,Wheelbase (mm),Width {mm (ft.)}
371,No ,,No ,,No ,,,"Lithium lon, 48V ",,,Fully Built ,Drum Brake ,,,,,,,,,,,,PIAGGIO,No ,,Yes ,,,Electric Motor ,,,,,,No ,,Hydraulic Telescopic Shock Absorber with Helical Compression Spring with Damper ,"4.0 – 8, 4 PR, 70E ",NA Ltr,Electric ,689,,19,200,,Yes ,389,,,,7 bhp  ,45,29 Nm ,,APE-E-CITY,No ,,,,1725,2700,1370,Yes ,NA Kgs,,,,,Hydraulic Telescopic Shock Absorber with Rubber Compression Spring with Damper ,"4.0 – 8, 4 PR, 70E ",,,Standard ,D+3 ,,,Handle Bar ,,,No ,No ,Constant Mesh 2 Stage Reduction With Integrated Differential Constant ,,,,,1920 mm,
372,No ,Yes ,Yes ,,No ,,No ,,No ,No ,Box body ,Air Brakes ,No ,No ,No ,No ,,No ,Day and Sleeper Cabin ,No ,Yes ,Chassis with Cabin ,"Pull type,booster assisted 430 mm ",EICHER,Yes ,7700 cc,Yes ,,BS-IV ,VEDX8 7.7 liters CRS with SCR Technology ,6,,No ,No ,No ,Yes ,,"Semi elliptical,laminated leaf springs, hydraulic type double acting shock absorber ",11.00R20 - 16PR ,380 Ltr,,45500,9-Speed ,23,,,No ,,No ,,,250 bhp  ,80,950 Nm  ,,PRO-6046,No ,No ,No ,,2920,5975,2526,Yes ,,Yes ,No ,Fully flooting banjo type ,No ,Semi elliptical laminated leaf springs ,11.00R20 - 16PR ,No ,Yes ,Standard ,,No ,,Power Steering ,No ,No ,Yes ,Yes ,Manual ,No ,,No ,No ,3650 mm,
373,Yes ,,,,,,,,,,Customizable ,Air Brakes ,,,,,,,Sleeper Cabin ,,,Chassis with Cabin ,,AMW,,0 cc,,,BS-III ,6BTAA ,6,,,,,,,,,240 Ltr,,25000,6-Speed ,,,,,,,,,178bhp  ,,650Nm  ,,2518-DRILLING-RIG,,,,,,,,,,Yes ,,,,,,,Yes ,,,,,Adjustable Steering ,,,Yes ,Yes ,Manual ,,,,,0 mm,
374,No ,No ,No ,,No ,,No ,,No ,No ,Refrigerated Van ,,No ,No ,No ,No ,No ,No ,Day Cabin ,No ,Yes ,Chassis with Cabin ,310 mm ,EICHER,No ,0 cc,No ,12V ,BS-IV ,E494 4Cyl 4V CRS ,4,,No ,No ,No ,Yes ,,,10आर20 ,190 Ltr,,12976,6-Speed ,26,330,2290,No ,,No ,6100,,135 bhp  ,,450 Nm  ,,PRO-1110XP-REEFER-VAN,No ,No ,No ,,,,,No ,,No ,No ,,No ,,10आर20 ,No ,Yes ,Standard ,,No ,No ,,No ,No ,No ,No ,Manual ,,,No ,No ,4300 mm,2135
375,Optional ,,Yes ,,No ,,No ,,No ,No ,Box body ,,No ,No ,No ,No ,No ,No ,Day and Sleeper Cabin ,No ,Yes ,Chassis with Cabin ,395 mm ,MAHINDRA,No ,7200 cc,Yes ,,BS-IV ,mPower 7.2 ltr FuelSmart ,,,No ,No ,No ,No ,,,295/90R 20 + 10R20 ,330 Ltr,Diesel ,35000,6-Speed ,18.1,,,No ,,No ,,,273 bhp  ,80,950 Nm  ,,BLAZO-X-35-SWB,No ,No ,No ,16,,5510,,Yes ,,Yes ,No ,,No ,,295/90R 20 + 10R20 ,No ,Yes ,Standard ,D+2 ,No ,No ,Power Steering ,No ,No ,,Yes ,Manual ,,6150,No ,No ,3075 mm,
376,,,,,,4x2 ,. ,,Hydraulic Vacuum assisted ,. ,Deck Body ,Air Brakes ,. ,. ,,. ,. ,. ,Day Cabin ,. ,. ,Chassis with Cabin ,"260 mm dia., Single plate diaphragm type ",SML-ISUZU,,3455 cc,,. ,BS-IV ,SLT4 & Numeral ,4,,. ,. ,. ,,,Semi Elliptical tyrpe Multi leaf s PR ing ,7.50 x 16 -16 PR ,180 Ltr,,8720,5-Speed ,,206,1695 (5.6) ,,2850,. ,5185 (17.2) ,,99.1bhp  ,,315Nm ,,SUPER-BS-IV,,. ,. ,,,,,,5870 Kgs,Optional ,. ,,. ,Semi Elliptical tyrpe Multi leaf s PR ing ,7.50 x 16 -16 PR ,,,,,. ,,Mechanical Steering ,,. ,,,Manual ,,3800,,. ,3940 mm,2060 (6.8) 
377,,,,,,4x2 ,,,,,Refrigerated Van ,Hydraulic Brakes ,,,,,,,Day Cabin ,,,Chassis with Cabin ,"260 mm dia., Single plate diaphragm type ",SML-ISUZU,,3455 cc,,,BS-IV ,SLT4 & Numeral ,4,,Skin finish made of panel ,insulated reinforced floor with anti skid layer ,,,,Semi Elliptical tyrpe Multi leaf s PR ing ,8.25 X 16 - 16 PR ,90 Ltr,,10250,5-Speed ,,206,1950 (6.4) ,,,,5795 (19) ,,99.1bhp  ,,315Nm ,,REEFER-VAN-BS-IV,,,,,,,,,,Yes ,,,Steel and fully covered with two insulated sandwish door panels ,Semi Elliptical tyrpe Multi leaf s PR ing ,8.25 X 16 - 16 PR ,,,,,Steel Closed Box/insulated sandwich floor ,,Power Steering ,,,,,Manual ,,,,,4760 mm,2200 (7.2) 
378,No ,No ,Yes ,,No ,,,,,,Deck Body ,Air Brakes ,,,,,,,Day Cabin ,,Yes ,Chassis with Cabin ,Single Plate Diaphragm ,SML-ISUZU,No ,3455 cc,Yes ,,BS-VI ,SLT6 In-line common rail direct injection diesel turbocharger with intercooler ,4,,,,,No ,,Semi elliptical with multileaf spring ,8.25 X 16 - 16 PR ,90 Ltr,Diesel ,7490,5-Speed ,,,580,No ,,,5185,,100 bhp  ,,310 Nm  ,,SARTAJ-GS-HG-72-BS-6,No ,,,6,,,,Yes ,,Yes ,,,,Semi elliptical with multileaf spring ,8.25 X 16 - 16 PR ,,Yes ,Standard ,D+2 ,,,Power Steering ,,,No ,No ,Manual ,No ,,,,3335 mm,2060
379,No ,No ,Yes ,,No ,6x4 ,No ,,NA ,No ,Box body ,Air Brakes ,No ,No ,No ,No ,. ,No ,Day Cabin ,No ,Yes ,Chassis with Cabin ,395 mm and Pull type booster assisted ,EICHER,Yes ,5100 cc,Yes ,2 x 24 V ( 150 Ah) ,BS-IV ,VEDX5 5.1 liters ,,,No ,No ,No ,No ,. ,Parabolic 4 leaf springs ,11x20 ,220 Ltr,,25000,6-Speed ,28.6,285,No ,No ,,No ,No ,,210 bhp  ,60,825 Nm  ,,PRO-6025T-FE,No ,No ,No ,,,,2590,Yes ,,Yes ,No ,Meritor Tandem - Fully floating banjo type ,No ,Bellcrank Suspension ,11x20 ,No ,Yes ,Standard ,,No ,14,Power Steering ,No ,No ,Yes ,Yes ,Manual ,No ,7300,No ,No ,4000 mm,No 
380,No ,Yes ,Yes ,,No ,. ,NA ,,NA ,NA ,Deck Body ,Hydraulic Brakes ,NA ,NA ,NA ,NA ,,NA ,Day Cabin ,NA ,NA ,Chassis with Cabin ,310 mm dia ,EICHER,No ,0 cc,Yes ,12V ,BS-IV ,E483 4Cyl 2V CRS Engine ,4,,NA ,NA ,NA ,No ,,Semi-elliptical laminated leaves (with shock absorber) ,7.50 x 16 - 16PR ,60 Ltr,,6250,5-Speed ,42,210,NA ,NA ,,NA ,3007(10) ,,95 bhp  ,,300 Nm  ,,PRO-1055DSD,No ,NA ,NA ,,,,,Yes ,,Yes ,NA ,,NA ,Semi-elliptical laminated leaves (with shock absorber) ,7.50 X 16 - 16PR ,NA ,Yes ,Standard ,,NA ,NA ,Tilt and telescopic steering power steering ,,NA ,. ,Yes ,Manual ,Yes ,,NA ,NA ,2815 mm,2007(6) 
