,A/C,ABS,Adjustable Driver Seat,Alternator (Amps),Arm-rest,Axle Configuration,Axle Types,Battery(Volts),Body Brakes,Body Material,Body Option,Brakes,Bulker Air Inlet Pipe,Bulker Discharge Pipe,Bulker Electricals,Bulker Equipments,Bulker Pressure,Bulker Type,Cabin Type,Canopy Length,Chassis,Chassis Type,Clutch,Company,Cruise Control,Displacement (cc),Driver Information Display,Electricals,Emission Norms,Engine,Engine Cylinders,Engine Displacement,External/Interior Surface,Floor Material,Floor Type,Fog Lights,Front Axle,Front Suspension,Front Tyre,Fuel Tank (Litres),Fuel Type,GVW / GCW (Kgs),Gearbox,Gradeability (%),Ground Clearance (mm),Height {mm (ft.)},Hill Hold,Kerb Weight (Kgs),Landing Gear,Length {mm (ft.)},Loading Platform Area(Sq.ft),Max Power,Max Speed (km/h),Max Torque,Mileage,Model,Navigation System,No. Of Axles,No. Of Valves,Number of Tyre,Overall Height (mm),Overall Length (mm),Overall Width (mm),Parking Brakes,Payload (Kgs),Power Steering,Pump Type,Rear Axle,Rear Board Material,Rear Suspension,Rear Tyre,Refrigerating Unit,Seat Belts,Seat Type,Seating Capacity,Side Board Material,Size (Cu. M),Steering,Telematics,Temperature Range,Tiltable Cabin,Tiltable Steering,Transmission,Tubeless Tyres,Turning Radius (mm),Water Tank Capacity (KL),Water Tank Type,Wheelbase (mm),Width {mm (ft.)}
101,No ,Yes ,Yes ,,No ,4x2 ,,24,,,Customizable ,Pneumatic foot operated dual line brakes ,,,,,,,Day Cabin ,,Yes ,Chassis with Cabin ,Single dry plate hydraulic control ,BHARAT-BENZ,No ,7200 cc,Yes ,,BS-VI ,OM926 ,6,,,,,,IF 7.0 ,Parabolic type leaf spring with 2 hydraulic shock absorbers ,11x20 ,215 Ltr,Diesel ,18500,6-Speed ,38,265,,,,,3200,,241 bhp ,60,850 Nm  ,,1923C,No ,,,6,2960,6185,2490,Yes ,,Yes ,,RA 1 IR440-11 ,,Semi-elliptical Leaf spring ,11x20 ,,Yes ,Standard ,D+1 ,,10.5,Power Steering ,,,,No ,Manual ,No ,6750,,,3600 mm,
102,No ,Yes ,Yes ,,No ,,No ,,No ,No ,Customizable ,Air Brakes ,No ,No ,No ,No ,,No ,,No ,Yes ,Chassis ,Single plate dry friction 380mm ,TATA,No ,5883 cc,Yes ,24 V x 100 Ah ,BS-IV ,Cummins ISBe 5.9 ,6,,No ,No ,No ,No ,Extra Heavy Duty Forged I Beam Reverse elliot type ,Parabolic Spring ,295/80R 22.5 ,,,35000,6-Speed ,19.4,,,No ,,No ,,,177 bhp  ,,700 Nm  ,,LPT-3518,No ,No ,No ,,,9635,2440,Yes ,,Yes ,No ,Single speed hypoid gear in pressed steel welded beam with differential carrier housing fully floating axle shafts ,No ,Semi-elliptical Leaf spring ,295/80R 22.5 ,No ,Yes ,Standard ,,No ,No ,Power Steering ,No ,No ,,Yes ,Manual ,Yes ,,No ,No ,5505 mm,
103,Yes ,Yes ,Yes ,,No ,,No ,,No ,No ,Customizable ,Air Brakes ,No ,No ,No ,No ,,No ,Day and Sleeper Cabin ,No ,Yes ,Chassis with Cabin ,Single plate push type booster assisted 380mm dia dry ,TATA,No ,5883 cc,Yes ,24 V x 100 Ah ,BS-IV ,Cummins ISBe 5.9 ,6,,No ,No ,No ,Yes ,Heavy Duty Forged I Beam reverse Elliot Type ,Semi-elliptical parabolic leaf spring hydraulic double acting telescopic type ,295/80R 22.5 ,300 Ltr,,55000,9-Speed ,20,,,No ,,No ,,,227 bhp  ,,810 Nm  ,,SIGNA-5523S,No ,No ,No ,,,6869,2598,Yes ,,Yes ,No ,RA 109 Srt ,No ,Bell crank suspension ,295/80R 22.5 ,No ,Yes ,Standard ,,No ,No ,Power Steering ,No ,No ,,Yes ,Manual ,Yes ,,No ,No ,3880 mm,
104,,,,,,4x2 ,,,Hydraulic Vacuum assisted ,,Deck Body ,Hydraulic Brakes ,,,,,,,Day Cabin ,,,Chassis with Cabin ,"260 mm dia., Single plate diaphragm type ",SML-ISUZU,,3455 cc,,,BS-IV ,SLT4 & Numeral ,4,,,,,,,Semi Elliptical tyrpe Multi leaf spring ,7.50 x 16 -16 PR ,90 Ltr,,8000,5-Speed ,,206,1695 (5.6) ,,2900,,5240 (17.2) ,,99.1bhp  ,,315Nm ,,SUPREME-BS-IV,,,,,,,,,5100 Kgs,Optional ,,,,Semi Elliptical tyrpe Multi leaf spring ,7.50 x 16 -16 PR ,,,,,,,Mechanical Steering ,,,,,Manual ,,3800,,,3940 mm,2080 (6.8) 
105,Yes ,Yes ,Yes ,,No ,,No ,,No ,No ,Customizable ,Air Brakes ,No ,No ,No ,No ,,No ,,No ,Yes ,Chassis with Cabin ,Single plate dry friction 380mm ,TATA,No ,5883 cc,Yes ,24 V x 120 Ah ,BS-IV ,Cummins ISBe 5.9 Common rail with cummins fuel injection system ,6,,No ,No ,No ,No ,Extra Heavy Duty Forged I Beam Reverse elliot type ,Parabolic Spring ,295/80R 22.5 ,,,42000,6-Speed ,18.3,,,No ,,No ,,,229 bhp  ,,810 Nm  ,,LPT-4223,No ,No ,No ,,,10985,,Yes ,,Yes ,No ,Single speed hypoid gear in pressed steel welded beam with differential carrier housing fully floating axle shafts ,No ,Semi-elliptical Leaf spring ,295/80R 22.5 ,No ,Yes ,Standard ,,No ,No ,Power Steering ,No ,No ,,Yes ,Manual ,Yes ,,No ,No ,6750 mm,
106,No ,Yes ,Yes ,,No ,6x2 ,,24,,,Customizable ,Pneumatic foot operated dual line brakes ,,,,,,,Day and Sleeper Cabin ,,Yes ,Chassis with Cabin ,Single dry plate hydraulic control ,BHARAT-BENZ,No ,7200 cc,Yes ,,BS-VI ,OM926 ,6,,,,,,IF 7.0 ,Parabolic type leaf spring with 2 hydraulic shock absorbers ,295/80R22.5 ,380 Ltr,Diesel ,28000,6-Speed ,23.5,226,,,,,7315,,241 bhp ,80,850 Nm  ,,2823R,No ,,,10,2942,9892,2490,Yes ,,Yes ,,RA 1 IR440-11 ,,Balancer type semi-elliptical leaf spring ,295/80R22.5 ,,Yes ,Standard ,D+1 ,,24(ft) ,Power Steering ,,,,No ,Manual ,Yes ,9350,,,5175 mm,
107,No ,No ,No ,,No ,4x2 ,No ,,Hydraulic Vacuum assisted ,No ,Deck Body ,Hydraulic Brakes ,No ,No ,No ,No ,,No ,Day Cabin ,No ,No ,Chassis with Cabin ,"260 mm dia., Single plate diaphragm type ",SML-ISUZU,No ,3455 cc,No ,No ,BS-IV ,4-Cylinder In-line Direct Injec on / Common Rail Direct Injec on Diesel Turbo-charger with Inter-cooler ,4,,No ,No ,No ,No ,"Forged ""I"" beam reverse Elliot type Axle, ",Semi Elliptical tyrpe Multi leaf s PR ing ,7' x 16' - 14 PR ,70 Ltr,,5200,5-Speed ,34,190,1695 (5.6) ,No ,2310,No ,2080 (6.8) ,,99.1bhp  ,120,310 Nm  ,,SARTAJ-5252-XM-BS-IV,No ,No ,No ,,2350,4489,1975,Yes ,2890 Kgs,Optional ,No ,"Full floating banjo type Axle, ",No ,Semi Elliptical tyrpe Multi leaf s PR ing ,7' x 16' - 14 PR ,No ,Yes ,Standard ,,No ,No ,Mechanical Steering ,No ,No ,No ,No ,Manual ,No ,5075,No ,No ,2515 mm,1860 (6.1) 
108,No ,No ,Yes ,,No ,4x2 ,No ,,"Dual circuit, full air S cam with VOSS fitment ",No ,Deck Body ,Hydraulic Brakes ,No ,No ,No ,No ,. ,No ,Day Cabin ,No ,Yes ,Chassis with Cabin ,310 mm dia. ,EICHER,No ,3298 cc,Yes ,No ,BS-IV ,E483 4 Cyl CRS ,4,,No ,No ,No ,No ,. ,Semi-elliptical laminated leaves (with shock absorber) ,7.50 x 16 -16 PR ,190 Ltr,,8720,5-Speed ,28,210,No ,No ,,No ,4960(16.2) ,,110 HP  ,,350Nm  ,,PRO-1090,No ,No ,No ,,,,,Yes ,,Yes ,No ,. ,No ,Semi-elliptical laminated leaves (with shock absorber) ,7.50 x 16 -16 PR ,No ,Yes ,Standard ,,No ,No ,Power Steering ,No ,No ,Yes ,Yes ,Manual ,No ,,No ,No ,3765 mm,2007(6.6) 
109,Yes ,No ,Yes ,,No ,,No ,,No ,No ,Customizable ,Air Brakes ,No ,No ,No ,No ,,No ,,No ,Yes ,Chassis ,Single plate dry friction type 352mm organic ,TATA,No ,5900 cc,Yes ,"2 x 12 V, 100Ah ",BS-IV ,"Cummins ISBe 5.9 water-cooled turbo-charged,inter-cooled common rail ",,,No ,No ,No ,No ,,Parabolic spring with anti-roll bar ,295/80R 22.5 ,300 Ltr,,18500,6-Speed ,22.8,,,No ,,No ,,,180 bhp  ,,700 Nm  ,,LPT-1918,No ,No ,No ,,,,,Yes ,,Yes ,No ,Single reduction extra heavy duty hypoid gears fully floating axle shafts ,No ,Semi-elliptical Multi-leaf Spring ,295/80R 22.5 ,No ,Yes ,Standard ,,No ,No ,Power Steering ,No ,No ,,Yes ,Manual ,Yes ,,No ,No ,6800 mm,
110,No ,No ,Yes ,,No ,,No ,,No ,No ,Customizable ,Drum Brakes ,No ,No ,No ,No ,,No ,,No ,Yes ,Chassis ,Single plate dry friction type booster-assisted 352mm dia ,TATA,No ,5005 cc,Yes ,,BS-IV ,Compression ignition water-cooled direct injection turbo-charged inter-cooled common rail ,4,,No ,No ,No ,No ,7T extra heavy duty forged I beam reverse elliot type ,Option of parabolic and multi leaf semi-elliptical ,295/80R 22.5 ,,,18500,6-Speed ,32.7,,,No ,,No ,,,177 bhp  ,,590 Nm  ,,LPT-1918-5-L-TURBOTRONN,No ,No ,No ,,,,,Yes ,,Yes ,No ,Single reduction hypoid gears fully floating axle shafts ,No ,Multi leaf semi-elliptical with aux spring ,295/80R 22.5 ,No ,Yes ,Standard ,,No ,No ,Power Steering ,No ,No ,,Yes ,Manual ,Yes ,8350,No ,No ,4225 mm,
111,No ,Yes ,Yes ,,No ,,No ,,No ,No ,Box body ,Air Brakes ,No ,No ,No ,No ,,No ,Day Cabin ,No ,Yes ,Chassis with Cabin ,Single Plate dry Friction type 330 mm ,TATA,No ,3783 cc,Yes ,"12 V, 100 Ah ",BS-IV ,497 TCIC CR ,,,No ,No ,No ,No ,,Semi elliptical leaf spring with hydraulic double acting telescopic shock absorbs ,9 R 20 - 16 PR ,160 Ltr,,15800,5-Speed ,25.4,245,,No ,,No ,,,123 bhp  ,,400 Nm  ,,LPT-1512,No ,No ,No ,,,,,Yes ,,Yes ,No ,Fully Floating axle ,No ,Semi elliptic leaf spring ,9 R 20 - 16 PR ,No ,Yes ,Standard ,,No ,No ,Power Steering ,No ,No ,Yes ,Yes ,Manual ,,7350,No ,No ,4200 mm,
112,Optional ,Yes ,Yes ,,No ,,No ,,No ,No ,Customizable ,Air Brakes ,No ,No ,No ,No ,No ,No ,Day and Sleeper Cabin ,No ,Yes ,Chassis with Cabin ,,MAHINDRA,No ,7200 cc,Yes ,24V (2x12) ,BS-IV ,mPower 7.2 ltr FuelSmart ,,,No ,No ,No ,No ,,Parabolic ,295/90R 20 + 10R20 ,330 Ltr,Diesel ,35000,6-Speed ,20.5,,,No ,,No ,8534,,274 bhp  ,80,950 Nm  ,,BLAZO-X-31-LIFT-AXLE,No ,No ,No ,10,,,,,,Yes ,No ,"Single Reduction,fully floating axle Shafts ",No ,Semi elliptical Leaf spring ,295/90R 20 + 10R20 ,No ,Yes ,Standard ,D+2 ,No ,No ,Power Steering ,No ,No ,,Yes ,Manual ,,,No ,No ,6100 mm,
113,No ,No ,Yes ,,No ,6x2 ,,,"Dual circuit, Full Air S-Cam Brake system ",No ,Customizable ,Air Brakes ,No ,No ,No ,No ,,No ,No Cabin ,No ,Ladder type heavy duty frame with rivetted and bolted cross members ,Chassis with Cowl ,"Single Disc,dry Friction type,380mm ",TATA,No ,6700 cc,Yes ,,BS-IV ,Cummins ISBe 6.7 210 BSIV ,6,,No ,No ,No ,No ,"Extra heavy duty Forged ""I"" beam reverse Elliot type Axle, ",Semi-elliptical in front ,10R20 - 16 PR ,350 Ltr,,25000,6-Speed ,21,250,No ,No ,6160,,No ,,210 bhp  ,94,750Nm  ,,LPT-2521-6X2-TC,No ,,No ,,,9264,2440,Yes ,18840 Kgs,Yes ,No ,Tata RA 210 HR ,No ,Bell-Crank With Multi-Leaf S PR ing ,10R20 - 16 PR ,No ,Yes ,Standard ,,No ,No ,Hydraulic Power-assisted ,Optional ,No ,No ,No ,Manual ,No ,10250,No ,No ,4880 mm,No 
114,No ,No ,Yes ,,,,No ,,No ,No ,Box body ,Air Brakes ,No ,No ,No ,No ,No ,No ,Day Cabin ,No ,Yes ,,Dry Single Plate 352 ,TATA,No ,5675 cc,No ,24V ,BS-IV ,697 TciC ,6,,No ,No ,No ,No ,"Heavy Duty Forged I Beam, Reverse Elliot Type ",Semi-elliptical Leaf spring ,10.00 x 20 - 16 PR ,160 Ltr,,16200,6-Speed ,26,248,,No ,,No ,No ,,134 bhp  ,,490 Nm  ,,LPK-1613-HYMILER,No ,No ,No ,,3285,6365,2468,Yes ,,Yes ,No ,Fully Floating Axle RA 109RX ,No ,Semi-elliptical Leaf spring ,10.00 x 20 - 16 PR ,No ,Yes ,Standard ,,No ,No ,Power Steering ,,No ,No ,Yes ,Manual ,No ,8045,No ,No ,3580 mm,
115,No ,No ,No ,,No ,,,12 V 50 Ah ,,,,Drum Brake ,,,,,,,Day Cabin ,,,Chassis with Cabin ,"Multi-disc, wet type ",PIAGGIO,No ,436 cc,Yes ,,BS-IV ,"Single Cylinder, Forced Air Cooled ",1,,,,,No ,,Hydraulic Telescopic Shock Absorber with Helical Compression Spring with Damper ,4.50 x 10 8 PR ,8.5 Ltr,,734,4-Speed ,20.9,197,,No ,434,,,,8.05 bhp  ,,21 Nm  ,,APE-CITY-PLUS,No ,,,,1970,2880,1435,Yes ,,No ,,,,Hydraulic Telescopic Shock Absorber with Rubber Compression Spring with Damper ,4.50 x 10 8 PR ,,No ,Standard ,D+3 ,,,Handle Bar ,No ,,No ,No ,Manual ,No ,,,,1920 mm,
116,Yes ,Yes ,Yes ,,Yes ,6x4 ,No ,,No ,No ,Trailer Body ,Air Brakes ,No ,No ,No ,No ,,No ,Sleeper Cabin ,No ,No ,Chassis with Cabin ,"400 mm dia., Drag type dual friction discs, power assisted ",VOLVO,Yes ,12800 cc,Yes ,No ,E-III ,"Volvo D13A, DI Turbocharged Intercooled, with Engine Management System (EMS) ",6,,No ,No ,No ,Yes ,Heavy duty Axle ,Parabolic S-shaped leaf geometry suspension ,12 R 24 ,445 Ltr,,200000,16-Speed ,15,320,No ,Yes ,9065,No ,No ,,520bhp  ,58,2500Nm  ,,FH-520-PULLER,No ,No ,No ,,3484,6740,2495,Yes ,190935 Kgs,Yes ,No ,Planetary Hub reduction Axle with 4 gears ,No ,Heavy-duty bogie suspension with conventional multi-leaf springs ,12 R 24 ,No ,Yes ,Reclining ,,No ,No ,,YES ,No ,Yes ,Yes ,Manual ,No ,7650,No ,No ,3885 mm,No 
117,No ,No ,Yes ,,No ,4x2 ,No ,,No ,No ,Deck Body ,Air Brakes ,No ,No ,No ,No ,. ,No ,Day Cabin ,No ,No ,Chassis with Cabin ,"330 mm diameter, singledry plate with hydraulic actuation and clutch booster ",ASHOK-LEYLAND,No ,0 cc,Yes ,24V ,BS-IV ,"H-series, 4-cylinder diesel engine (CRS) ",4,,No ,No ,No ,No ,"""I"" section reverse elliot ",Parabolic springs ,8.25 x 20-16 PR ,208 Ltr,,11990,6-Speed ,22.7,260,590(1.9) ,No ,,No ,6706 (22) ,,130bhp  ,,450Nm  ,,BOSS-1113,No ,No ,No ,,,8813,,Spring actuated pneumatic ,,Yes ,No ,Fully-floating single reduction hypoid gear ,No ,semi-elliptical multi-leaf springs ,8.25 x 20-16 PR ,No ,Yes ,Standard ,,No ,No ,Power Steering and Tiltable Telescopic Steering ,No ,No ,Yes ,Yes ,Manual ,No ,8490,No ,No ,4900 mm,2210(7.2) 
118,No ,No ,Yes ,,No ,,No ,,No ,No ,Customizable ,Air Brakes ,No ,No ,No ,No ,,No ,Day and Sleeper Cabin ,No ,Yes ,Chassis with Cabin ,362mm ,EICHER,No ,0 cc,Yes ,24 V ,BS-IV ,E494 CRS with SCR Technology ,4,,No ,No ,No ,No ,,Parabolic leaf spring with ARB shock absorber ,10R20 - 16PR ,190 Ltr,,16200,6-Speed ,24.8,280,,No ,,No ,6096,,165 bhp  ,,520 Nm  ,,PRO-3016-AMT,No ,No ,No ,,,,,Yes ,,Yes ,No ,,No ,Semi elliptic leaf spring ,10R20 - 16PR ,No ,Yes ,Standard ,,No ,No ,Power Steering ,No ,No ,,Yes ,Automatic ,No ,,No ,No ,4490 mm,2316
119,Yes ,,Yes ,,No ,,No ,,No ,No ,Box body ,,No ,No ,No ,No ,,No ,Day and Sleeper Cabin ,No ,Yes ,Chassis with Cabin ,Single plate dry friction type booster-assisted 380mm dia organic ,TATA,No ,5883 cc,Yes ,,BS-IV ,Cummins ISBe 5.9L CI water-cooled direct injection turbo-charged inter-cooled common rail ,6,,No ,No ,No ,No ,7.5T Capacity heavy duty forging 2 steerable with extra heavy duty forged I beam reverse elliot type ,Parabolic springs with anti-roll bar assy ,295/80R 22.5 ,,,47500,9-Speed ,19,,,No ,,No ,8534 (28ft) ,,230 bhp  ,,810 Nm  ,,SIGNA-4823T,No ,No ,No ,,,,,Yes ,34000 Kgs,Yes ,No ,Single reduction hypoid gears extra heavy duty fully floating axle shafts ,No ,Semi-elliptical Leaf spring ,295/80R 22.5 ,No ,Yes ,Standard ,,No ,No ,Power Steering ,No ,No ,,Yes ,Manual ,Yes ,11900,No ,No ,6730 mm,
120,No ,Yes ,Yes ,,Yes ,No ,No ,,No ,No ,Customizable ,Air Brakes ,No ,No ,No ,No ,. ,No ,NA ,No ,No ,Chassis with Cowl ,"380 mm dia, single plate dry type with clutch booster ",ASHOK-LEYLAND,No ,0 cc,Yes ,2 X 12V ,BS-IV ,H series CRS engine with iEGR technology ,,,No ,No ,No ,Yes ,"Forged I beam, reverse Elliot type with pusher lift axle ",Semi-elliptic multileaf with equalizer link rod in rear ,10 x 20-16PR ,400 Ltr,,31000,6-Speed ,,,No ,Yes ,,No ,No ,,180 Bhp  ,,660 Nm  ,,3118-LA,No ,. ,No ,,,,,Yes ,,Yes ,No ,"Fully floating, single speed, hypoid with 6.5:1 RAR ",No ,Semi-elliptic multileaf with equalizer link rod in rear ,10 X 20-16PR ,No ,Yes ,Standard ,,No ,,Power Steering ,No ,No ,Yes ,No ,Manual ,Yes ,,No ,No ,0 mm,No 
121,No ,No ,Yes ,,,,No ,,No ,No ,Box body ,Air Brakes ,No ,No ,No ,No ,No ,No ,Day Cabin ,No ,Yes ,,330 mm dia single plate dry type - hydraulic actuation ,ASHOK-LEYLAND,No ,0 cc,No ,12V ,BS-IV ,H series 4 cylinder CRS ,4,,No ,No ,No ,No ,I section reverse elliot ,Shackle-ended multileaf springs ,8.25 X 16 - 16 PR ,115 Ltr,,10900,6-Speed ,,,,No ,,No ,,,130 bhp  ,,450 Nm  ,,ECOMET-1012-TIPPER,No ,No ,No ,,,,,Yes ,,,No ,"Fully floating, single reduction hyphoid axle ",No ,Shackle-ended multileaf springs ,8.25 X 16 - 16 PR ,No ,Yes ,Standard ,,No ,No ,,,No ,No ,,Manual ,,,No ,No ,0 mm,
122,Yes ,Yes ,Yes ,,No ,4x2 ,,,,,Deck Body ,Disc Brakes ,,,,,,,Day Cabin ,,,Chassis with Cabin ,,ISUZU,No ,2499 cc,Yes ,,BS-IV ,"Common Rail, VGS Turbo Intercooled ",4,,,,,Yes ,,"Independent Duble Wishbone,Coil Spring ",255/60 R18 ,,,2850,5-Speed ,25,,465,Yes ,1935,,1485,,134 bhp  ,175,320 Nm  ,,D-MAX-V-CROSS,No ,,,4,1855,5295,1860,Yes ,,Yes ,,,,"Soft Ride,Leaf Spring ",255/60 R18 ,,Yes ,Standard ,D+4 ,,,Power Steering ,No ,,No ,Yes ,Manual ,Yes ,,,,3095 mm,1530
123,No ,,Yes ,,,,,,,,Customizable ,Air Brakes ,,,,,,,Day Cabin ,,Yes ,Chassis with Cabin ,"Single plate dry friction Type,310mm dia ",TATA,,,Yes ,24V ,BS-VI ,,,,,,,,I beam with Air Drum Brakes ,Parabolic springs with antirollbar ,235/75 R 17.5 ,,Electric ,7490,,26,,,,3798,,,,295 bhp ,80,,,ULTRA-T-7-ELECTRIC,,,,6,,6400,,Yes ,3692 Kgs,Yes ,,"RAS 104, Salisbury with Air Drum Brakes ",,Semi-Elliptical Leaf Springs with parabolic auxiliary ,235/75 R 17.5 ,,Yes ,Standard ,D+2 ,,,Power Steering ,,,,Yes ,Automatic ,,3475,,,3550 mm,
124,No ,No ,No ,,No ,4x2 ,No ,,No ,No ,Deck Body ,Air Brakes ,No ,No ,No ,No ,. ,No ,Day Cabin ,No ,No ,Chassis with Cabin ,"330 mm diameter, singledry plate with hydraulic ",ASHOK-LEYLAND,No ,0 cc,Yes ,12V ,BS-IV ,"H-series, 4 Cylinder CRS ",4,,No ,No ,No ,No ,"""I"" section reverse elliot ",shackle ended multileaf springs ,8.25 x 16-16 PR ,200 Ltr,,10900,6-Speed ,,215,,No ,3850,No ,3475(11.4) ,,130bhp  ,,450Nm  ,,ECOMET-1012,No ,No ,No ,,,5332,,Spring actuated pneumatic ,7050 Kgs,Yes ,No ,Fully floating hypoid ,No ,shackle ended multileaf springs ,8.25 x 16-16 PR ,No ,No ,Standard ,,No ,No ,Power Steering ,No ,No ,Yes ,Yes ,Manual ,No ,5300,No ,No ,2850 mm,2260(7.4) 
125,No ,Yes ,Yes ,,Yes ,4x2 ,No ,,"Front-Disc, Rear-Drum, Duel Air over Hydraulic ",No ,Half Body ,"Front-Disc, Rear-Drum, Duel Air over Hydraulic ",No ,No ,No ,No ,,No ,Day Cabin ,No ,Bolted Chassis Construction ,Chassis with Cabin ,"Single Plate dry friction type booster assisted, 330 mm ",TATA,No ,3783 cc,Yes ,No ,BS-IV ,497 TCIC ,4,,No ,No ,No ,No ,NA ,Parabolic leaf for smooth rides and comfort at variable loads ,225/75 R 17.5 ,160 Ltr,,8000,6-Speed ,36,185,883(2.9) ,No ,,No ,6096(20) ,,165.2bhp  ,,400Nm  ,,ULTRA-812,No ,No ,No ,,2042,4633,2256,Yes ,,Yes ,No ,. ,No ,Semi elliptical Leaf springs suspension ,225/75 R 17.5 ,No ,Yes ,Adjustable ,,No ,No ,Power Steering - Tilt & Telescopic ,No ,No ,Yes ,Yes ,Manual ,Yes ,7600,No ,No ,4530 mm,2255(7.4) 
126,No ,No ,Yes ,,Yes ,,NA ,,"Dual Circuit Full
Air S-Cam Brake system Non ABS type ",NA ,Customizable ,Air Brakes ,NA ,NA ,NA ,NA ,,NA ,No Cabin ,NA ,,Chassis with Cowl ,"Single Plate dry friction type,352 mm Organic ",TATA,No ,0 cc,Yes ,NA ,BS-IV ,"Water Cooled Turbocharged, Intercooled Common Rail Diesel Engine ",6,,NA ,NA ,NA ,No ,"Extra heavy duty Forged ""I"" beam reverse Elliot type Axle, ",Semi-elliptic Multi Leaf Springs ,10R20 16 PR ,225 Ltr,,16200,6-Speed ,29,227,NA ,No ,,NA ,5290(18) ,,159 bhp  ,92,600 Nm  ,,LPT-1615,Yes ,NA ,NA ,,,,,Yes ,,Yes ,NA ,RA 109 RR ,NA ,Semi-elliptic Multi Leaf Springs ,10R20 16 PR ,NA ,No ,Standard ,,NA ,No ,Integrated Power-assisted Hydraulic ,No ,NA ,No ,Yes ,Manual ,No ,,NA ,NA ,4225 mm,NA 
127,No ,No ,Yes ,,No ,,,,No ,No ,Full Built ,Disc Brake ,No ,No ,No ,No ,No ,No ,Day Cabin ,No ,No ,,Single plate Dry - 215 mm ,TATA,No ,2179 cc,No ,No ,BS-IV ,Tata 2.2 l DI (LCE) ,4,,No ,No ,No ,No ,,McPherson Strut with coil spring ,185 R14 Radial 8 PR ,,,2850,5-Speed ,36% ,165,1900,No ,1700,No ,2750,,100 bhp  ,,190 Nm  ,,WINGER-CARGO,No ,,No ,,2445,4920,1905,Yes ,1150 Kgs,Yes ,No ,,No ,Parabolic leaf spring with hydraulic shock absorbers ,185 R14 Radial 8 PR ,No ,Yes ,Standard ,,No ,,Power Steering ,No ,No ,No ,Yes ,Manual ,No ,6400,No ,No ,3200 mm,1650
128,No ,No ,No ,,No ,,No ,,,No ,Scoop Body ,Air Brakes ,No ,No ,No ,No ,,No ,Day Cabin ,No ,Ladder type Heavy Duty Frame ,Chassis with Cabin ,Single Plate dry friction ,TATA,No ,5883 cc,Yes ,24 V ,BS-IV ,Cummins ISBe 5.9 230 40 ,6,,No ,No ,No ,No ,"Heavy Duty Forged I Beam, Reverse Elliot Type ",Semi Elliptical Leaf Springs ,10 x 20 - 16 PR ,300 Ltr,,25000,6-Speed ,34,,No ,No ,,Yes ,No ,,224.6 bhp  ,,850 Nm  ,,LPK-2523,No ,No ,No ,,,,,Yes ,,Yes ,No ,RA-109SRT with inter-axle ,No ,Ultimaax 37T Rubber Suspension ,10 x 20 - 16 PR ,No ,Yes ,Standard ,,No ,14,Power Steering ,No ,No ,No ,No ,Manual ,No ,8500,No ,No ,3880 mm,No 
129,No ,NA ,Yes ,,Yes ,,NA ,,NA ,NA ,Half Body ,"Front and Rear - Drum, Air Brakes ",NA ,NA ,NA ,NA ,,NA ,Day Cabin ,NA ,Bolted Chassis Construction ,Chassis with Cabin ,"Single Plate dry friction type booster assisted, 330 mm ",TATA,No ,0 cc,Yes ,NA ,BS-IV ,497 TCIC ,4,,NA ,NA ,NA ,NA ,NA ,Parabolic leaf For Smooth Ride And Comfert At Variable Loads ,235/75R 17.5 ,160 Ltr,,10400,6-Speed ,33,189,883(2.9) ,NA ,,NA ,6096(20) ,,165.2bhp  ,,400Nm  ,,ULTRA-1012,No ,NA ,NA ,,2042,4633,2256,NA ,,Yes ,NA ,NA ,NA ,Semi elliptical Leaf springs suspension ,235/75R 17.5 ,NA ,NA ,Adjustable ,,NA ,NA ,Power Steering - Tilt & Telescopic ,No ,NA ,Yes ,Yes ,Manual ,NA ,7600,NA ,NA ,4530 mm,2255(7.4) 
130,No ,No ,Yes ,,Yes ,4x2 ,No ,,"Front-Disc, Rear-Drum, Duel Air over Hydraulic ",No ,Customizable ,Air Brakes ,No ,No ,No ,No ,,No ,Day Cabin ,No ,Bolted Chassis Construction ,Chassis with Cabin ,"Single Plate dry , 330 mm ",TATA,No ,3783 cc,Yes ,No ,BS-IV ,4 Cylinder in line water cooled direct injection diesel engine with intercooler ,4,,No ,No ,No ,No ,"Heavy duty Forged ""I"" beam reverse Elliot type Axle ",Semi elliptical leaf springs Suspension ,9 x 20- 16 PR FR Rib ,100 Ltr,,11900,5-Speed ,30.3,245,NA ,No ,,No ,,,121.6 bhp  ,60,400Nm  ,,LPK-1212-CRX,No ,No ,No ,,NA ,NA ,NA ,Yes ,,Yes ,No ,Fully Floating axle ,No ,Semi elliptical Leaf springs suspension ,9 x 20- 16 PR RR Lug ,No ,Yes ,Adjustable ,,No ,No ,Hydraulic power assisted steering ,No ,No ,Yes ,Yes ,Manual ,Yes ,5600,No ,No ,3000 mm,
131,No ,No ,No ,,No ,,,,,,,Drum Brake ,,,,,,,Day Cabin ,,,Chassis with Cabin ,Wet Multiplate Clutch ,BAJAJ,No ,198 cc,Yes ,,BS-IV ,four stroke engine ,1,,,,,No ,,,,,,667,4-Speed ,19,,,No ,348,,,,10 bhp  ,,17 Nm  ,,COMPACT-4S,No ,,,,1700,2635,1300,Yes ,,No ,,,,,,,No ,Standard ,D+3 ,,,Handle Bar ,No ,,No ,No ,Manual ,No ,,,,2000 mm,
